Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
04_193_0104_6_1_T,Group Activities In A Centre - 1:2 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$75.42,$75.42,$75.42,$75.42,$75.42,$75.42,$75.42,$75.42,$105.59,$113.13,N,Y,Y,N,N,Price Limited Supports
04_194_0104_6_1,Group Activities In A Centre - 1:2 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$90.58,$90.58,$90.58,$90.58,$90.58,$90.58,$90.58,$90.58,$126.81,$135.87,N,Y,Y,N,N,Price Limited Supports
04_194_0104_6_1_T,Group Activities In A Centre - 1:2 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$91.80,$91.80,$91.80,$91.80,$91.80,$91.80,$91.80,$91.80,$128.52,$137.70,N,Y,Y,N,N,Price Limited Supports
04_195_0104_6_1,Group Activities In A Centre - 1:3 - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$31.72,$31.72,$31.72,$31.72,$31.72,$31.72,$31.72,$31.72,$44.41,$47.58,N,Y,Y,N,N,Price Limited Supports
04_195_0104_6_1_T,Group Activities In A Centre - 1:3 - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$32.13,$32.13,$32.13,$32.13,$32.13,$32.13,$32.13,$32.13,$44.98,$48.20,N,Y,Y,N,N,Price Limited Supports
04_196_0104_6_1,Group Activities In A Centre - 1:3 - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$34.70,$34.70,$34.70,$34.70,$34.70,$34.70,$34.70,$34.70,$48.58,$52.05,N,Y,Y,N,N,Price Limited Supports
04_196_0104_6_1_T,Group Activities In A Centre - 1:3 - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$35.15,$35.15,$35.15,$35.15,$35.15,$35.15,$35.15,$35.15,$49.21,$52.73,N,Y,Y,N,N,Price Limited Supports
04_197_0104_6_1,Group Activities In A Centre - 1:3 - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$43.65,$43.65,$43.65,$43.65,$43.65,$43.65,$43.65,$43.65,$61.11,$65.48,N,Y,Y,N,N,Price Limited Supports
04_197_0104_6_1_T,Group Activities In A Centre - 1:3 - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$44.22,$44.22,$44.22,$44.22,$44.22,$44.22,$44.22,$44.22,$61.91,$66.33,N,Y,Y,N,N,Price Limited Supports
04_198_0104_6_1,Group Activities In A Centre - 1:3 - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$55.57,$55.57,$55.57,$55.57,$55.57,$55.57,$55.57,$55.57,$77.80,$83.36,N,Y,Y,N,N,Price Limited Supports
04_198_0104_6_1_T,Group Activities In A Centre - 1:3 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$56.31,$56.31,$56.31,$56.31,$56.31,$56.31,$56.31,$56.31,$78.83,$84.47,N,Y,Y,N,N,Price Limited Supports
04_199_0104_6_1,Group Activities In A Centre - 1:3 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$67.49,$67.49,$67.49,$67.49,$67.49,$67.49,$67.49,$67.49,$94.49,$101.24,N,Y,Y,N,N,Price Limited Supports
04_199_0104_6_1_T,Group Activities In A Centre - 1:3 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$68.40,$68.40,$68.40,$68.40,$68.40,$68.40,$68.40,$68.40,$95.76,$102.60,N,Y,Y,N,N,Price Limited Supports
04_200_0104_6_1,Group Activities In A Centre - 1:4 - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$26.53,$26.53,$26.53,$26.53,$26.53,$26.53,$26.53,$26.53,$37.14,$39.80,N,Y,Y,N,N,Price Limited Supports
04_200_0104_6_1_T,Group Activities In A Centre - 1:4 - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$26.86,$26.86,$26.86,$26.86,$26.86,$26.86,$26.86,$26.86,$37.60,$40.29,N,Y,Y,N,N,Price Limited Supports
04_201_0104_6_1,Group Activities In A Centre - 1:4 - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$28.98,$28.98,$28.98,$28.98,$28.98,$28.98,$28.98,$28.98,$40.57,$43.47,N,Y,Y,N,N,Price Limited Supports
04_201_0104_6_1_T,Group Activities In A Centre - 1:4 - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$29.35,$29.35,$29.35,$29.35,$29.35,$29.35,$29.35,$29.35,$41.09,$44.03,N,Y,Y,N,N,Price Limited Supports
04_202_0104_6_1,Group Activities In A Centre - 1:4 - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$36.33,$36.33,$36.33,$36.33,$36.33,$36.33,$36.33,$36.33,$50.86,$54.50,N,Y,Y,N,N,Price Limited Supports
04_202_0104_6_1_T,Group Activities In A Centre - 1:4 - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$36.80,$36.80,$36.80,$36.80,$36.80,$36.80,$36.80,$36.80,$51.52,$55.20,N,Y,Y,N,N,Price Limited Supports
04_203_0104_6_1,Group Activities In A Centre - 1:4 - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$46.14,$46.14,$46.14,$46.14,$46.14,$46.14,$46.14,$46.14,$64.60,$69.21,N,Y,Y,N,N,Price Limited Supports
04_203_0104_6_1_T,Group Activities In A Centre - 1:4 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$46.75,$46.75,$46.75,$46.75,$46.75,$46.75,$46.75,$46.75,$65.45,$70.13,N,Y,Y,N,N,Price Limited Supports
04_204_0104_6_1,Group Activities In A Centre - 1:4 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$55.95,$55.95,$55.95,$55.95,$55.95,$55.95,$55.95,$55.95,$78.33,$83.93,N,Y,Y,N,N,Price Limited Supports
04_204_0104_6_1_T,Group Activities In A Centre - 1:4 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$56.69,$56.69,$56.69,$56.69,$56.69,$56.69,$56.69,$56.69,$79.37,$85.04,N,Y,Y,N,N,Price Limited Supports
04_205_0104_6_1,Group Activities In A Centre - 1:5 - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$23.41,$23.41,$23.41,$23.41,$23.41,$23.41,$23.41,$23.41,$32.77,$35.12,N,Y,Y,N,N,Price Limited Supports
04_205_0104_6_1_T,Group Activities In A Centre - 1:5 - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$23.70,$23.70,$23.70,$23.70,$23.70,$23.70,$23.70,$23.70,$33.18,$35.55,N,Y,Y,N,N,Price Limited Supports
04_206_0104_6_1,Group Activities In A Centre - 1:5 - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$25.55,$25.55,$25.55,$25.55,$25.55,$25.55,$25.55,$25.55,$35.77,$38.33,N,Y,Y,N,N,Price Limited Supports
04_206_0104_6_1_T,Group Activities In A Centre - 1:5 - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$25.87,$25.87,$25.87,$25.87,$25.87,$25.87,$25.87,$25.87,$36.22,$38.81,N,Y,Y,N,N,Price Limited Supports
04_207_0104_6_1,Group Activities In A Centre - 1:5 - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$31.95,$31.95,$31.95,$31.95,$31.95,$31.95,$31.95,$31.95,$44.73,$47.93,N,Y,Y,N,N,Price Limited Supports
04_207_0104_6_1_T,Group Activities In A Centre - 1:5 - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$32.36,$32.36,$32.36,$32.36,$32.36,$32.36,$32.36,$32.36,$45.30,$48.54,N,Y,Y,N,N,Price Limited Supports
04_208_0104_6_1,Group Activities In A Centre - 1:5 - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$40.49,$40.49,$40.49,$40.49,$40.49,$40.49,$40.49,$40.49,$56.69,$60.74,N,Y,Y,N,N,Price Limited Supports
04_208_0104_6_1_T,Group Activities In A Centre - 1:5 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$41.01,$41.01,$41.01,$41.01,$41.01,$41.01,$41.01,$41.01,$57.41,$61.52,N,Y,Y,N,N,Price Limited Supports
04_209_0104_6_1,Group Activities In A Centre - 1:5 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$49.03,$49.03,$49.03,$49.03,$49.03,$49.03,$49.03,$49.03,$68.64,$73.55,N,Y,Y,N,N,Price Limited Supports
04_209_0104_6_1_T,Group Activities In A Centre - 1:5 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$49.67,$49.67,$49.67,$49.67,$49.67,$49.67,$49.67,$49.67,$69.54,$74.51,N,Y,Y,N,N,Price Limited Supports
04_210_0125_6_1,Community Social And Recreational Activities,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,
04_400_0104_1_1,Access Community Social and Rec Activ - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$99.19,$106.28,Y,Y,Y,N,N,Price Limited Supports
04_400_0104_1_1_T,Access Community Social and Rec Activ - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$100.56,$107.75,Y,Y,Y,N,N,Price Limited Supports
04_401_0104_1_1,Access Community Social and Rec Activ - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$109.28,$117.09,Y,Y,Y,N,N,Price Limited Supports
04_401_0104_1_1_T,Access Community Social and Rec Activ - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$110.80,$118.71,Y,Y,Y,N,N,Price Limited Supports
04_402_0104_1_1,Access Community Social and Rec Activ - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$139.57,$149.54,Y,Y,Y,N,N,Price Limited Supports
04_402_0104_1_1_T,Access Community Social and Rec Activ - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$141.50,$151.61,Y,Y,Y,N,N,Price Limited Supports
04_403_0104_1_1,Access Community Social and Rec Activ - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$179.96,$192.81,Y,Y,Y,N,N,Price Limited Supports
04_403_0104_1_1_T,Access Community Social and Rec Activ - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$182.45,$195.48,Y,Y,Y,N,N,Price Limited Supports
04_404_0104_1_1,Access Community Social and Rec Activ - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$220.35,$236.09,Y,Y,Y,N,N,Price Limited Supports
04_404_0104_1_1_T,Access Community Social and Rec Activ - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$223.40,$239.36,Y,Y,Y,N,N,Price Limited Supports
04_590_0125_6_1,Activity Based Transport,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_591_0136_6_1,Activity Based Transport,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_592_0104_6_1,Activity Based Transport,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_599_0104_6_1,Centre Capital Cost,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$3.42,$3.66,N,N,Y,N,N,Price Limited Supports
04_599_0133_5_1,Centre Capital Cost,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$3.42,$3.66,N,N,Y,N,N,Price Limited Supports
04_599_0136_6_1,Centre Capital Cost,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$2.44,$3.42,$3.66,N,N,Y,N,N,Price Limited Supports
04_600_0104_6_1,Group Activities - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$99.19,$106.28,Y,Y,Y,N,N,Price Limited Supports
04_600_0104_6_1_T,Group Activities - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$100.56,$107.75,Y,Y,Y,N,N,Price Limited Supports
04_601_0104_6_1,Group Activities - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$109.28,$117.09,Y,Y,Y,N,N,Price Limited Supports
04_601_0104_6_1_T,Group Activities - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$110.80,$118.71,Y,Y,Y,N,N,Price Limited Supports
04_602_0104_6_1,Group Activities - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$139.57,$149.54,Y,Y,Y,N,N,Price Limited Supports
04_602_0104_6_1_T,Group Activities - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$141.50,$151.61,Y,Y,Y,N,N,Price Limited Supports
04_603_0104_6_1,Group Activities - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$179.96,$192.81,Y,Y,Y,N,N,Price Limited Supports
04_603_0104_6_1_T,Group Activities - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$182.45,$195.48,Y,Y,Y,N,N,Price Limited Supports
04_604_0104_6_1,Group Activities - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$220.35,$236.09,Y,Y,Y,N,N,Price Limited Supports
04_604_0104_6_1_T,Group Activities - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$223.40,$239.36,Y,Y,Y,N,N,Price Limited Supports
04_799_0104_6_1,Provider travel - non-labour costs,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_799_0125_6_1,Provider travel - non-labour costs,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_799_0133_5_1,Provider travel - non-labour costs,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_799_0136_6_1,Provider travel - non-labour costs,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
04_801_0133_5_1,Supports in Employment - Weekday Daytime,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,Y,Y,Y,N,N,Price Limited Supports
04_801_0133_5_1_T,Supports in Employment - Weekday Daytime - TTP,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$93.03,$99.68,Y,Y,Y,N,N,Price Limited Supports
04_802_0133_5_1,Supports in Employment - Weekday Evening,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,Y,Y,Y,N,N,Price Limited Supports
04_802_0133_5_1_T,Supports in Employment - Weekday Evening - TTP,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$102.49,$109.82,Y,Y,Y,N,N,Price Limited Supports
04_803_0133_5_1,Supports in Employment - Saturday,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,Y,Y,Y,N,N,Price Limited Supports
04_803_0133_5_1_T,Supports in Employment - Saturday - TTP,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$130.90,$140.25,Y,Y,Y,N,N,Price Limited Supports
04_804_0133_5_1,Supports in Employment - Sunday,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,Y,Y,Y,N,N,Price Limited Supports
04_804_0133_5_1_T,Supports in Employment - Sunday - TTP,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$168.78,$180.84,Y,Y,Y,N,N,Price Limited Supports
04_805_0133_5_1,Supports in Employment - Public Holiday,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,Y,Y,Y,N,N,Price Limited Supports
04_805_0133_5_1_T,Supports in Employment - Public Holiday - TTP,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$206.67,$221.43,Y,Y,Y,N,N,Price Limited Supports
04_821_0133_6_1,Activity Based Transport,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_0002_0103_1_2,AT Supplementary Charge - AT Personal Care/Safety,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0105_1_2,AT Supplementary Charge - Personal Mobility or Transfer,0105,Personal Mobility Equipment,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0109_1_2,AT Supplementary Charge - Vehicle modifications,0109,Vehicle Modifications,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0112_1_2,AT Supplementary Charge - Recreation including sport,0112,Assistive Equipment For Recreation,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0113_1_2,AT Supplementary Charge - Vision,0113,Vision Equipment,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0122_1_2,AT Supplementary Charge - Hearing products,0122,Hearing Equipment,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0123_1_2,AT Supplementary Charge - Household Tasks and Control,0123,Assistive Products For Household Tasks,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0124_1_2,AT Supplementary Charge - Communication and Information support,0124,Communication And Information Equipment,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_0002_0135_1_2,AT Supplementary Charge - Prosthesis or Orthosis,0135,Customised Prosthetics (includes Orthotics),5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
05_040312115_0103_1_2,AT Rental - Assistive Products for Respiration Support,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_040312801_0103_1_1,Ventilators - Supplemental Ventilation Support (including CPAP and BPAP),0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040312811_0103_1_1,Ventilators - Invasive Ventilation for Continuous Use,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040313111_0103_1_1,Ventilator accessory - Filters and/or Humidifiers,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,
05_040321811_0103_1_1,Aspirators,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040322811_0103_1_1,Cough Assist Machine,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_040609171_0103_1_1,Cyclic Pressure Unit - Replacement Garments and Compression Sleeves ,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,
